#Frame      Dih_00026 Dih_00027 Dih_00028 Dih_00029 Dih_00030
     104     -12.2758 -10.5117 27.9170 -36.4378 30.4513
     105     -37.4217 33.8858 -18.9496 -4.1243 28.1963
     106     -42.6758 28.1206 -6.7465 -16.2270 37.4776
     107     -41.0439 26.5041 -2.9595 -21.0446 40.3870
     108     -35.7888 44.1977 -31.6959 11.8758 15.3847
     109     -22.5418 0.1144 20.9157 -36.5288 37.6154
     110     -40.7054 26.1392 -2.0009 -22.5273 38.5816
     111     -21.3024 7.6487 7.6541 -20.0496 24.9927
     112     -30.8171 20.4337 -2.1244 -15.5034 27.4861
     113     -42.8670 28.2334 -6.3189 -17.8185 37.6655
     114     -34.2490 20.4039 0.6944 -21.9398 35.4256
     115     -28.9725 28.7739 -16.6746 -2.2342 21.3591
     116     -40.9667 30.1481 -7.2262 -16.8794 36.3588
     117     -42.0189 18.4855 8.9079 -34.7980 50.4638
     118     -32.6641 9.9005 11.9893 -30.3795 38.9097
     119     -28.5703 13.3012 6.7381 -26.7173 35.7570
     120     -33.9246 21.1289 -1.4167 -18.3492 32.6560
     121     -31.5550 9.3693 15.7560 -35.5379 40.3640
     122     -41.6607 25.4110 -3.7026 -20.2928 40.4261
     123     -36.8085 14.0079 11.7512 -33.2032 43.3640
     124     -24.7531 1.6762 19.9006 -36.4628 38.2358
     125       0.1789 -21.7867 32.7230 -35.5662 22.5312
     126     -18.1959 10.2431 1.5186 -13.1800 19.0715
     127      -2.7526 -15.1574 24.7732 -26.2507 18.9627
     128     -30.7688 17.9544 0.6305 -18.9665 32.0042
     129     -20.8744 2.4574 15.9536 -30.9230 30.2568
     130     -27.8567 3.7296 18.2852 -33.0583 39.6378
     131     -28.2063 9.9348 10.8947 -27.5510 36.9390
     132     -24.0826 5.9674 12.7162 -27.4022 33.0355
     133     -15.7437 -1.9768 16.4458 -26.5683 27.4955
     134     -25.7659 3.5746 18.6591 -34.7117 37.5105
     135     -37.5636 44.4380 -30.8460 10.3738 17.0041
     136     -44.3433 29.2115 -4.6214 -21.4980 41.2682
     137     -28.4676 17.1469 -0.2716 -15.9289 26.7963
     138     -38.3165 17.3016 9.2335 -30.9271 44.1559
     139     -23.7541 8.4963 8.8463 -23.7372 30.8947
     140     -36.0820 38.5169 -26.1828 6.2213 19.7554
     141     -46.1892 28.8463 -4.4514 -20.9768 41.0283
     142     -37.7257 26.4941 -6.2947 -15.1507 33.5424
     143     -41.2067 22.2574 3.4432 -29.1650 44.7002
     144     -43.1885 18.5807 10.0777 -34.2207 49.2137
     145     -32.0922 12.9276 8.9272 -28.5674 39.7757
     146     -33.4536 27.3252 -11.4339 -7.5019 25.3856
     147     -26.0861 1.7796 20.6297 -36.8722 41.5538
     148     -23.1708 -2.6668 25.8922 -44.2653 42.5047
     149     -35.9658 20.5420 2.0086 -23.6073 36.9008
     150     -34.5799 34.9934 -20.2215 0.7382 20.8421
     151     -15.4406 15.6159 -11.3196 3.0034 8.0592
     152     -36.3382 31.6783 -16.6650 -4.3587 26.1327
     153     -17.0592 28.3556 -27.3711 19.8071 -2.4019
     154     -24.1229 34.8121 -34.1358 20.3885 1.6428
     155     -16.2170 29.6603 -31.2458 20.6919 -2.6918
     156     -29.9529 34.4105 -23.8848 5.0964 16.3742
     157     -48.1341 32.3686 -6.0472 -22.5700 44.9978
     158     -29.8175 12.6322 7.6583 -26.3785 36.6702
     159     -30.5757 23.7140 -9.4103 -8.1905 24.9903
     160     -25.0262 8.7698 8.4344 -22.5657 29.5055
     161     -17.7858 9.0904 1.8982 -12.5376 19.0668
     162     -36.2679 20.3425 2.1741 -23.0930 35.5566
     163     -36.0749 5.9076 22.8141 -44.2292 50.8972
     164      -9.7824 -11.5808 25.6089 -34.2878 27.3912
     165     -23.9275 2.4779 17.9079 -31.2699 34.0556
     166      -9.0657 -15.7784 31.0602 -41.6860 31.1707
     167     -24.2712 0.7040 21.2527 -35.4787 38.0058
     168     -19.3636 -10.2656 32.1138 -43.9877 41.4484
     169     -25.8955 -0.3361 24.0235 -40.1698 41.3595
     170     -10.8700 -15.3304 31.5987 -39.1896 31.6919
     171      -8.0597 -18.0161 34.3954 -38.2086 31.4593
     172     -16.2416 -15.7460 38.2294 -48.2730 40.9262
     173     -22.0698 -4.6091 26.3323 -42.2642 39.9691
     174     -19.6626 -5.5414 25.4842 -38.8576 37.7125
     175     -22.0716 -8.2006 33.5958 -46.1697 43.5380
