#Frame      Dih_00016 Dih_00017 Dih_00018 Dih_00019 Dih_00020
     104     -29.7651 31.1991 -19.4676 2.8227 16.7429
     105     -30.5084 31.6351 -17.7410 1.6120 17.1203
     106     -35.6992 51.1848 -43.2902 23.1424 7.8012
     107     -42.7532 41.2474 -28.3652 5.7189 21.5780
     108     -21.9874 36.2287 -33.5948 21.5678 0.4774
     109     -42.2260 45.6631 -28.8094 7.9910 22.6124
     110     -32.9090 40.8536 -35.1151 17.6087 9.7635
     111     -10.5762 31.8808 -37.8061 33.4868 -14.4798
     112     -26.8493 37.3587 -29.2689 15.0749 7.0502
     113     -37.2157 36.3240 -22.0408 1.7660 22.0571
     114     -24.5508 32.8991 -29.1763 16.3727 5.8583
     115     -33.8364 45.6627 -40.9442 21.4785 7.9254
     116     -19.0677 31.4310 -30.6238 20.6723 -2.0371
     117     -26.9587 38.7230 -33.1247 18.9978 4.2100
     118     -25.7323 41.1497 -38.5133 25.6520 -0.6737
     119     -20.2686 34.1474 -32.0337 21.8710 -1.4004
     120     -25.6458 36.7218 -31.6365 19.8463 3.3934
     121     -26.8562 35.8890 -33.5172 18.4424 4.7363
     122       1.5846 24.9700 -39.5011 39.9626 -27.7834
     123     -20.4131 25.4865 -21.8422 11.0348 5.7974
     124     -20.1005 37.4827 -38.5324 27.9676 -4.5178
     125     -30.8738 40.9228 -35.8555 19.6032 6.0160
     126     -23.6006 34.1184 -27.7985 15.9656 5.0684
     127     -34.9080 40.8866 -29.3634 10.1693 15.2868
     128     -33.6806 45.1319 -40.7185 23.5236 7.1279
     129     -27.6722 34.7220 -26.4036 12.0076 9.1170
     130     -28.1003 44.6242 -43.0101 27.6565 0.1042
     131     -38.4412 40.2004 -25.5320 3.9761 20.8804
     132     -22.5072 36.2424 -32.4010 22.5452 0.1310
     133     -41.0602 45.4767 -30.6062 9.6216 19.4960
     134     -23.6716 38.5271 -37.7863 26.5350 -1.4768
     135     -22.6046 39.7712 -35.9175 23.2127 0.3735
     136     -32.4568 44.7815 -40.3212 24.9628 3.8804
     137     -25.0805 38.1402 -35.2509 21.6009 1.8556
     138     -18.0201 30.7255 -27.1494 19.6055 -1.7620
     139     -16.0353 29.8038 -30.5597 22.5984 -4.4791
     140     -28.8271 45.1894 -45.3802 33.6824 -3.1403
     141     -23.7155 36.4952 -33.0496 21.6213 0.5681
     142     -21.3306 35.9394 -34.3262 22.9263 -0.8823
     143     -17.1093 32.7445 -35.0410 27.4310 -6.0176
     144     -24.7970 33.9687 -28.3798 16.0007 5.0034
     145     -12.4297 24.2794 -24.1070 20.2049 -5.4538
     146     -14.3693 28.3981 -30.6401 24.5536 -6.2780
     147     -21.1972 36.4395 -37.3333 25.2053 -1.7261
     148     -26.1597 41.5145 -36.5996 24.8076 0.7496
     149     -17.3151 28.5692 -27.3756 20.1256 -1.8414
     150     -15.4590 29.4628 -30.7183 23.2117 -5.1175
     151     -24.7468 38.0359 -32.9718 20.2470 1.9952
     152     -20.9463 35.3926 -32.3524 23.7424 -2.5205
     153     -19.7219 36.3001 -38.0821 27.4413 -4.5745
     154     -20.9175 31.9697 -30.6356 21.2255 0.1566
     155      -8.8981 20.8054 -22.9374 18.2998 -6.8105
     156     -16.9989 29.1740 -28.8082 19.0858 -1.2710
     157     -39.4270 41.6312 -28.2699 7.6442 18.9048
     158     -34.6647 41.8928 -34.0596 14.6624 13.3160
     159     -25.6076 40.3286 -37.3728 24.4438 0.4391
     160     -20.6218 35.5070 -34.1801 24.9317 -3.0994
     161     -23.6365 32.2913 -27.2135 14.1267 5.6946
     162     -32.4964 33.7635 -23.9102 6.7500 17.4834
     163      -4.8598 19.9812 -25.5366 25.9438 -13.9190
     164     -21.2347 37.9587 -36.4445 26.7019 -3.2547
     165     -30.0148 37.9655 -31.2315 15.5771 9.4665
     166     -21.3985 36.2927 -35.2522 25.4604 -2.5006
     167     -15.9609 31.8683 -34.6177 27.0443 -6.5274
     168     -26.1434 38.6210 -33.2561 19.3776 3.4367
     169     -22.1038 34.6184 -34.0439 24.4987 -2.0151
     170     -13.2714 33.3095 -37.8029 33.6175 -13.3141
     171      -4.7948 21.7815 -29.3661 28.3554 -14.0135
     172     -16.9583 27.2218 -26.4063 16.2320 0.1257
     173      -5.4281 28.1059 -37.6379 36.7991 -19.5980
     174     -16.8260 31.4161 -31.9454 24.0756 -4.6666
     175     -22.4744 35.4243 -30.6631 18.9096 2.6604
     176     -13.9164 29.9957 -33.1676 27.5003 -8.5773
     177     -13.1573 32.7102 -38.0631 32.6915 -12.1910
     178     -16.2205 24.6261 -23.0088 14.5475 0.6176
     179     -17.5196 33.0086 -34.6171 25.2470 -6.2864
     180     -31.5751 37.9899 -29.4785 11.3569 12.8071
     181     -22.7171 36.8634 -34.6671 22.7959 0.5476
     182     -28.1812 36.1474 -28.2787 11.4402 11.2747
     183     -20.1118 30.2993 -29.4986 20.5999 -1.0527
     184     -35.8453 44.6761 -36.9321 18.1978 10.7077
     185     -37.0799 43.1945 -34.2355 15.0820 12.4487
     186     -27.2679 30.2729 -21.2194 5.6044 14.3622
     187     -13.7400 32.8159 -38.9606 31.7891 -11.4598
     188     -18.9573 35.8237 -37.7731 29.5606 -5.8650
     189     -23.3670 34.7848 -30.8600 18.8127 2.0880
     190      -8.7885 25.5415 -29.8414 27.0078 -11.6342
     191     -21.5369 38.8150 -38.9531 28.7843 -3.6497
     192     -20.3523 32.0061 -30.0913 21.2549 -0.6452
     193     -10.0941 25.6428 -29.8643 24.3962 -10.0269
     194     -21.5258 30.8542 -31.6754 19.6500 0.9524
     195      -5.4603 26.0651 -35.8881 36.8462 -19.2049
     196     -27.4979 38.9921 -30.7215 17.0818 7.2509
     197     -11.9122 33.4723 -42.7922 40.3526 -16.9855
     198     -18.4395 37.0946 -41.2750 32.0548 -7.9706
     199      -9.6901 22.5340 -27.3936 24.1068 -8.6686
     200     -12.1108 25.2246 -26.4966 20.4258 -6.1378
