#Frame      Dih_00126 Dih_00127 Dih_00128 Dih_00129 Dih_00130
     105     -39.1008 47.0616 -36.9899 15.5793 14.7811
     106     -33.5601 40.8781 -33.4328 15.7206 11.8553
     107     -25.3143 37.7990 -33.9799 20.6447 3.2719
     108     -26.1165 34.6656 -30.3432 16.4207 6.5199
     109     -44.4560 46.8148 -34.2226 8.4441 22.5461
     110     -35.6773 42.3334 -31.7882 13.4255 14.1378
     111     -34.6391 45.3150 -39.2558 20.0439 9.1113
     112     -28.5157 38.5095 -32.6323 17.8666 7.3535
     113     -35.4276 45.3194 -36.9324 17.4421 11.0661
     114     -32.1272 37.7853 -28.1340 11.1090 12.3703
     115     -18.8739 30.0161 -28.2110 20.3630 -1.3953
     116     -35.9649 39.8827 -29.3597 9.9567 15.3146
     117      -6.4273 24.0907 -30.0752 30.3135 -15.4761
     118     -25.3819 28.2806 -21.0382 7.4724 10.8732
     119     -34.8014 41.9725 -31.9504 13.3130 13.0374
     120     -35.3976 47.9898 -41.0307 23.4817 6.4495
     121     -22.7098 30.0093 -26.5610 14.4086 5.1269
     122     -21.2879 39.8594 -41.1584 28.4853 -4.6165
     123     -35.5618 43.3714 -30.7961 11.8562 14.6088
     124     -41.2012 35.8097 -17.5814 -6.5630 31.7786
     125     -40.6585 33.9579 -17.7437 -6.5859 30.7283
     126     -41.2427 47.0832 -34.1955 10.3769 19.9452
     127     -36.3605 50.0028 -45.1151 26.6921 4.4604
     128     -46.8346 41.3494 -26.4820 -0.4209 30.3391
     129     -35.3520 49.8027 -44.3696 22.8994 7.1775
     130     -49.0777 40.3373 -18.0634 -8.9623 36.3543
     131     -38.0901 41.4640 -28.0328 7.1914 19.3678
     132     -33.1159 40.0278 -29.0011 11.2024 14.1629
     133     -20.8794 28.4730 -23.8321 12.1176 5.2871
     134     -30.5676 44.7198 -41.4277 25.4642 3.3355
     135     -25.8790 36.6288 -33.3517 20.2296 4.1796
     136     -39.8039 40.5107 -27.5449 5.0876 21.9473
     137     -30.7931 40.4952 -31.6520 15.0242 8.9131
     138     -32.1061 40.9089 -31.2837 13.1751 11.3270
     139     -26.0988 43.1541 -41.2147 27.2487 -1.6166
     140     -33.2181 42.4707 -39.4635 22.0412 7.8169
     141     -39.1660 51.0974 -41.6661 17.7939 14.2122
     142     -15.2520 32.2632 -35.7397 27.9541 -8.0588
     143     -17.1013 34.0222 -36.4007 27.8429 -7.9204
     144     -29.6979 39.2955 -32.7486 17.5330 6.9487
     145     -31.7827 41.8887 -33.9314 16.1383 10.0346
     146     -18.5418 38.8370 -40.0287 31.1248 -8.2610
     147     -44.0196 55.2150 -41.8218 18.8141 15.9908
     148     -29.4325 39.5002 -32.5945 18.3851 6.5511
     149     -32.8402 38.9856 -30.9069 12.9447 12.9869
     150     -37.6838 43.1644 -33.5401 11.7364 16.6814
     151     -21.9588 37.6426 -36.5088 23.9028 -1.8653
     152     -31.7186 37.3916 -29.5910 12.9594 11.2495
     153     -49.3092 40.4847 -20.5153 -6.8536 34.6462
     154     -39.8999 55.9597 -46.7654 27.5091 5.8812
     155     -39.5321 32.7572 -12.5616 -11.2598 31.7452
     156     -34.9659 42.7662 -34.4107 17.6641 9.6419
     157     -35.7607 36.6218 -21.8821 1.6202 22.3124
     158     -36.4835 31.0117 -13.5676 -6.8411 27.2288
     159     -25.4418 33.8085 -28.4192 15.2828 6.5671
     160     -28.0475 40.8201 -34.8151 20.0278 4.8672
     161     -43.3802 45.8902 -30.7025 4.6576 24.2387
     162     -44.9331 44.3369 -25.7359 -1.8511 29.5517
     163     -39.8735 31.0418 -10.9940 -10.8328 31.4434
     164     -31.0898 36.1493 -29.4195 12.5983 11.2142
     165     -31.5194 39.6684 -33.3489 16.5422 9.1685
     166     -29.5013 35.4808 -25.4167 9.5214 12.5373
     167     -35.3798 34.6292 -19.0949 -0.1866 21.9529
     168     -47.8996 33.6332 -6.6971 -22.7773 47.6251
     169     -35.2849 42.1070 -34.1085 14.5755 11.7443
     170     -36.6475 41.6834 -31.8575 11.8179 16.1734
     171     -39.1272 44.9726 -28.8727 4.1177 23.6865
     172     -14.3702 27.0469 -29.6947 22.2145 -4.6778
     173     -33.6831 45.8285 -40.2719 21.2199 7.2207
     174     -52.7008 46.6131 -28.0143 -3.7392 36.1223
     175     -25.9610 36.6953 -34.0305 20.7249 1.8571
     176     -30.1684 38.5548 -32.0930 16.6253 8.3246
     177     -23.6776 38.0362 -33.6456 23.8243 -1.1898
