#Frame      Dih_00081 Dih_00082 Dih_00083 Dih_00084 Dih_00085
     104     -33.2196 30.0835 -17.0646 -1.7907 21.9247
     105     -14.2684 30.9152 -34.1633 27.2432 -8.5664
     106      -7.4669 26.3129 -32.4690 31.3912 -15.3801
     107      -9.1545 29.1395 -36.2570 31.9968 -14.3220
     108     -20.9709 29.9563 -26.5893 16.7148 2.1505
     109     -46.5211 36.7060 -13.8566 -13.5766 39.1651
     110     -35.7583 33.2297 -17.8249 -2.6326 23.0452
     111     -37.3114 31.8945 -16.2571 -3.0275 25.4362
     112     -22.8378 28.9728 -23.7241 12.3004 6.1592
     113     -28.4788 37.0001 -30.0060 14.0084 10.7858
     114     -34.1408 38.4829 -27.6651 9.4951 14.9183
     115     -31.7171 34.8603 -26.4203 8.0022 15.2422
     116     -29.9476 15.0471 4.8475 -23.1134 32.3506
     117      -8.9300 21.2243 -25.5238 19.5605 -6.7222
     118     -43.5718 35.3555 -12.6122 -14.4266 37.7785
     119     -23.0698 41.4433 -42.2561 31.5908 -4.3786
     120     -36.4169 32.4356 -16.8799 -4.1759 25.8311
     121     -13.1716 1.3858 9.5750 -18.2380 21.5628
     122     -14.0931 -5.0016 19.6953 -28.7322 28.1005
     123     -30.1597 13.1995 7.2459 -25.9117 36.6351
     124     -25.4506 9.9372 8.6560 -23.5990 31.9019
     125     -28.5233 32.1775 -24.6128 9.3462 11.4028
     126     -30.6130 35.7561 -25.1470 9.2386 12.8888
     127      -5.5546 21.8483 -26.4794 25.7880 -12.9003
     128      -8.1353 23.0774 -27.5113 23.9690 -9.6298
     129     -27.5529 34.5344 -28.8418 14.7759 7.4726
     130     -24.4615 30.0556 -24.8487 11.5175 8.3731
     131     -30.9398 43.3461 -38.0773 20.2148 6.9380
     132     -29.0276 36.5612 -26.4671 9.0739 12.7189
     133     -33.0732 16.9919 3.3064 -22.5267 36.9355
     134     -17.4588 -6.5556 24.3991 -35.8693 33.7719
     135      -8.8082 -2.5399 11.5443 -18.6950 17.6662
     136     -39.1966 46.6875 -35.5210 13.8088 16.8902
     137     -27.4446 25.9984 -13.6968 -2.3805 18.9300
     138     -38.8634 22.0543 -0.4965 -20.9669 37.1548
     139     -38.0101 45.3159 -31.9067 8.2478 18.9816
     140     -39.8216 30.2291 -10.1187 -12.8356 32.7061
     141     -33.6495 42.5982 -35.0926 15.4239 12.4584
     142     -31.3175 41.9590 -32.6886 18.1730 8.4698
     143     -43.3263 32.1095 -12.6677 -11.8983 33.9809
     144     -17.6046 31.3568 -32.3365 23.8275 -4.0796
     145     -31.3488 41.9978 -38.1831 19.2679 8.2689
     146       5.3177 -19.0466 25.5369 -23.1986 11.2065
     147      -0.5906 -20.0271 29.3556 -33.0664 21.7190
     148       1.0805 -22.8918 33.1409 -34.1234 21.9069
     149      -0.3812 -18.9795 27.3482 -27.9640 19.3139
     150      -7.9759 -11.7706 23.7700 -30.9133 25.1947
     151      -9.2476 -5.8019 16.4738 -21.9099 20.1658
     152     -14.9110 -13.5831 34.3301 -44.2709 38.9902
