#Frame      Dih_00126 Dih_00127 Dih_00128 Dih_00129 Dih_00130
     104      -7.8167 28.5867 -35.4005 34.3370 -16.7330
     105     -10.8005 34.0777 -41.6740 37.3697 -16.2457
     106       2.4770 17.9404 -28.5768 33.7295 -22.3403
     107     -17.8720 34.2434 -37.1424 29.5948 -7.2369
     108     -17.6021 29.2091 -29.9460 21.4763 -2.5977
     109      -5.5755 23.1567 -30.6517 28.0319 -14.5271
     110       0.3924 19.6038 -29.5688 31.6005 -21.4189
     111     -15.0032 33.1478 -38.1657 32.5176 -10.9466
     112      -4.4894 20.7817 -29.9227 28.6981 -15.2402
     113      -6.5678 28.5589 -36.4790 33.1641 -17.9952
     114      -6.8234 27.0445 -33.2824 29.8791 -14.5027
     115     -17.8846 38.9192 -42.3491 33.0497 -10.7933
     116     -13.3314 31.1347 -36.8190 31.2272 -10.6901
     117     -19.4912 28.4478 -26.5333 14.2213 2.9832
     118     -11.0412 31.0592 -38.2058 33.6148 -13.9747
     119       7.4973 -0.6882 -5.4761 10.3304 -11.3230
     120     -41.6636 51.9141 -40.8283 20.3187 13.3622
     121     -20.3129 30.1581 -28.2107 17.7320 2.0846
     122       0.3037 16.5429 -24.5347 23.8631 -15.8734
     123     -14.6983 33.9962 -33.0582 27.1396 -7.7089
     124       0.7322 13.7897 -21.2907 23.0538 -14.8471
     125     -30.8097 46.5307 -40.2802 24.1626 4.2242
     126     -18.0726 33.0323 -31.8618 21.3450 -3.4451
     127     -23.8869 33.2932 -29.9785 17.6437 3.9634
     128     -15.1777 32.1246 -35.2169 27.0292 -8.1517
     129      -3.4503 21.3699 -29.2271 27.3752 -15.4159
     130      -3.5014 22.9617 -32.5907 32.7615 -18.6432
     131     -19.1270 28.2825 -24.9118 16.4951 0.8823
     132      -9.8560 24.7298 -28.8544 26.2214 -10.1922
     133     -15.0980 27.1070 -27.6514 19.5826 -3.5158
     134     -12.6645 28.6560 -30.5976 25.5748 -8.4727
     135     -22.9798 36.5678 -36.3516 21.6326 1.2468
     136      -4.7740 23.9338 -29.5065 27.0025 -14.9745
     137      -0.7621 24.0548 -35.1050 35.8444 -22.6917
     138     -11.7986 30.8272 -33.9571 30.8046 -11.6563
     139     -10.6847 28.7179 -33.9739 28.7226 -11.6722
     140      -2.8889 22.6421 -30.3011 30.2532 -17.3669
     141      -3.9115 20.0196 -27.4650 25.5002 -13.9649
     142     -25.2409 37.2478 -33.8703 21.6726 1.0761
     143     -11.9716 31.0648 -39.1979 35.5200 -13.2486
     144     -11.4323 28.2955 -33.9388 28.6665 -11.6872
     145      -3.9953 26.4487 -37.4052 34.9185 -19.2957
     146     -23.4465 41.3591 -38.8532 29.5804 -4.5413
     147     -10.6409 28.0152 -34.4166 28.9479 -11.3521
     148      -4.0877 27.4149 -37.0507 37.1406 -20.6030
     149       1.7596 20.6008 -32.7076 33.3293 -21.1345
     150     -10.1212 25.0843 -29.6908 24.9195 -10.4245
     151     -14.1054 38.3166 -43.3840 38.1082 -16.4113
     152      -9.5864 31.5290 -40.3137 35.7123 -16.6207
     153     -25.4587 36.0664 -31.9802 20.5758 3.0391
     154      -2.2495 19.9589 -27.9810 28.2771 -16.4068
     155     -22.1135 30.3643 -28.7501 18.0059 2.0586
     156     -12.9181 25.8945 -28.9071 22.2380 -5.9693
     157     -13.2066 34.1481 -40.5894 31.5342 -11.9720
     158     -38.7484 47.2283 -33.3603 13.1369 15.0635
     159     -33.9479 38.9236 -26.3029 8.7678 15.1175
     160     -27.2938 40.6265 -37.0757 21.4614 3.9422
     161     -15.1468 30.5008 -35.6077 25.8598 -7.1739
     162     -26.6869 40.5844 -38.3805 25.0153 0.7040
     163     -17.7924 31.8332 -30.2636 21.1102 -2.8919
     164     -11.9008 28.4176 -33.1313 27.0746 -9.6970
     165     -20.9117 31.4870 -28.0567 18.7502 0.7157
     166     -15.1877 24.0293 -21.9964 14.7019 0.4273
     167     -23.0614 36.0032 -30.7240 17.0270 4.1937
